Plot_ID,Row,Raceme_ID,Plant_Species,Subplot_Type,CountWithNectar,TotalFlowersTested
19,3,219,Lathyrus,R,2,2
19,3,220,Lathyrus,C,3,3
19,3,221,Lathyrus,C,3,3
19,3,222,Lathyrus,D,0,2
19,3,382,Onobrychis,R,1,1
20,3,155,Prunella,D,2,3
20,3,154,Prunella,C,3,3
20,3,243,Prunella,D,2,2
20,3,242,Prunella,C,3,3
21,3,100,Lathyrus,C,0,1
21,3,101,Lathyrus,D,1,1
21,3,99,Lathyrus,R,2,2
21,3,247,Lathyrus,C,0,1
21,3,246,Lathyrus,D,0,1
21,3,245,Lathyrus,C,0,1
21,3,151,Prunella,D,2,3
21,3,153,Prunella,C,1,2
21,3,223,Prunella,R,3,3
21,3,152,Prunella,R,0,1
21,3,459,Prunella,D,3,3
21,3,244,Prunella,R,3,3
22,4,395,Onobrychis,R,3,3
22,4,13,Prunella,D,3,3
22,4,14,Prunella,C,1,1
22,4,15,Prunella,R,3,3
22,4,102,Prunella,C,3,3
22,4,103,Prunella,R,3,3
22,4,104,Prunella,D,0,1
22,4,396,Onobrychis,D,3,3
22,4,377,Onobrychis,D,1,3
22,4,376,Onobrychis,R,3,3
22,4,375,Onobrychis,C,3,3
22,4,253,Prunella,R,0,1
22,4,256,Prunella,D,0,1
22,4,257,Prunella,C,3,3
22,4,262,Lathyrus,C,0,1
22,4,255,Lathyrus,D,0,1
22,4,261,Lathyrus,C,3,3
23,4,17,Onobrychis,D,0,1
23,4,16,Onobrychis,C,2,3
23,4,105,Prunella,D,1,1
23,4,106,Prunella,R,3,3
23,4,18,Onobrychis,R,1,1
23,4,259,Prunella,C,3,3
23,4,258,Lathyrus,R,0,1
23,4,387,Onobrychis,R,0,3
23,4,380,Onobrychis,C,3,3
23,4,379,Onobrychis,C,1,1
23,4,378,Onobrychis,D,2,3
23,4,107,Prunella,C,3,3
24,4,286,Prunella,D,2,3
24,4,21,Lathyrus,D,1,1
24,4,265,Lathyrus,D,3,3
24,4,19,Lathyrus,R,0,2
24,4,20,Lathyrus,C,3,3
24,4,260,Lathyrus,C,1,3
24,4,263,Prunella,C,0,1
24,4,264,Lathyrus,C,3,3
24,4,266,Prunella,D,0,2
24,4,285,Prunella,C,3,3
25,4,292,Prunella,C,3,3
25,4,110,Lathyrus,D,2,2
25,4,109,Lathyrus,R,3,3
25,4,108,Lathyrus,C,2,3
25,4,24,Prunella,R,2,3
25,4,287,Lathyrus,D,0,2
25,4,23,Prunella,D,3,3
25,4,288,Lathyrus,R,1,3
25,4,289,Lathyrus,C,3,3
25,4,290,Lathyrus,D,1,1
25,4,291,Prunella,R,0,1
25,4,22,Prunella,C,0,3
26,4,111,Prunella,D,1,2
26,4,26,Prunella,C,3,3
26,4,388,Onobrychis,C,3,3
26,4,27,Prunella,R,2,2
26,4,25,Prunella,D,0,2
26,4,112,Prunella,C,3,3
26,4,389,Onobrychis,D,3,3
26,4,294,Prunella,R,0,1
26,4,293,Prunella,R,3,3
26,4,113,Prunella,R,2,2
27,4,392,Onobrychis,D,3,3
27,4,28,Onobrychis,R,3,3
27,4,116,Prunella,D,1,1
27,4,115,Prunella,C,1,1
27,4,390,Onobrychis,R,0,2
27,4,114,Prunella,R,3,3
27,4,381,Onobrychis,C,3,3
27,4,29,Onobrychis,D,3,3
27,4,30,Onobrychis,C,1,3
27,4,391,Onobrychis,R,3,3
28,4,33,Prunella,D,2,3
