Plot_ID,Row,ID,Raceme_ID,No_Floral_Units,Plant_Species,Subplot_Type,Volume_Absolute,Concentration_Absolute,Concentration_AverageBlanks,Sugar_Absolute
20,3,295,154,7,Prunella,Control,0.65625,0.319085345,0.319085345,0.209399757
20,3,294,154,7,Prunella,Control,0.78125,0.257636187,0.257636187,0.201278271
20,3,469,242,12,Prunella,Control,0.296875,0.645270444,0.645270444,0.191564663
17,3,875,449,7,Prunella,Roofed,0.578125,0.319085345,0.319085345,0.184471215
20,3,293,154,7,Prunella,Control,0.625,0.294198098,0.294198098,0.183873811
19,3,418,220,4,Lathyrus,Control,0.625,0.288040922,0.288040922,0.180025576
20,3,468,242,12,Prunella,Control,0.265625,0.645270444,0.645270444,0.171399962
19,3,451,236,12,Prunella,Control,0.375,0.45683391,0.45683391,0.171312716
21,3,475,244,5,Prunella,Roofed,0.390625,0.429645924,0.429645924,0.167830439
17,3,409,216,4,Prunella,Control,0.8125,0.20446641,0.20446641,0.166128958
17,3,870,445,1,Lathyrus,Roofed,0.3125,0.512613234,0.512613234,0.160191636
19,3,456,238,5,Prunella,Drought,0.390625,NA,0.4099,0.160117188
21,3,474,244,5,Prunella,Roofed,0.328125,0.463703219,0.463703219,0.152152619
21,3,473,244,5,Prunella,Roofed,0.359375,0.409554909,0.409554909,0.147183795
15,3,402,211,4,Lathyrus,Drought,0.78125,0.18717489,0.18717489,0.146230383
19,3,450,236,12,Prunella,Control,0.265625,0.534023897,0.534023897,0.141850098
16,3,862,441,7,Onobrychis,Control,0.203125,0.645270444,0.645270444,0.131070559
16,3,747,394,3,Onobrychis,Drought,0.234375,0.555709302,0.555709302,0.130244368
21,3,289,151,9,Prunella,Drought,0.40625,0.312824484,0.312824484,0.127084947
19,3,453,237,6,Lathyrus,Control,0.546875,0.227854452,0.227854452,0.124607903
19,3,447,235,7,Prunella,Roofed,0.34375,0.350786142,0.350786142,0.120582736
17,3,868,444,3,Lathyrus,Drought,0.3125,NA,0.3729,0.11653125
17,3,876,449,7,Prunella,Roofed,0.34375,0.331685964,0.331685964,0.11401705
17,3,408,216,4,Prunella,Control,0.46875,0.227854452,0.227854452,0.106806774
20,3,297,155,10,Prunella,Drought,0.390625,0.26366676,0.26366676,0.102994828
20,3,298,155,10,Prunella,Drought,0.421875,0.239693454,0.239693454,0.101120676
17,3,410,216,4,Prunella,Control,0.53125,0.18717489,0.18717489,0.09943666
15,3,405,212,8,Prunella,Drought,0.171875,0.570320654,0.570320654,0.098023862
19,3,304,158,4,Lathyrus,Control,0.3125,0.312824484,0.312824484,0.097757651
21,3,290,151,9,Prunella,Drought,0.265625,0.363653984,0.363653984,0.09659559
21,3,426,223,14,Prunella,Roofed,0.203125,NA,0.4099,0.083260938
19,3,460,239,9,Prunella,Drought,0.1875,0.443182334,0.443182334,0.083096688
19,3,723,384,2,Onobrychis,Drought,0.1875,0.443182334,0.443182334,0.083096688
19,3,606,319,11,Onobrychis,Roofed,0.265625,0.306589745,0.306589745,0.081437901
21,3,197,99,2,Lathyrus,Roofed,0.34375,0.23376176,0.23376176,0.080355605
16,3,748,394,3,Onobrychis,Drought,0.1484375,0.512613234,0.512613234,0.076091027
21,3,291,153,2,Prunella,Control,0.125,0.555709302,0.555709302,0.069463663
19,3,452,236,12,Prunella,Control,0.15625,NA,0.4099,0.064046875
16,3,861,441,7,Onobrychis,Control,0.09375,0.645270444,0.645270444,0.060494104
17,3,412,217,2,Lathyrus,Drought,0.15625,NA,0.3729,0.058265625
