Plot_ID,Row,ID,Raceme_ID,No_Floral_Units,Plant_Species,Subplot_Type,Volume_Absolute,Concentration_Absolute,Concentration_AverageBlanks,Sugar_Absolute
7,1,393,206,6,Lathyrus,Control,0.46875,NA,0.3729,0.174796875
6,1,284,149,3,Prunella,Control,0.65625,0.26366676,0.26366676,0.173031311
3,1,281,148,3,Prunella,Control,0.75,0.227854452,0.227854452,0.170890839
6,1,282,149,3,Prunella,Control,0.75,0.227854452,0.227854452,0.170890839
3,1,267,139,3,Prunella,Roofed,0.265625,0.61490765,0.61490765,0.163334845
4,1,852,437,8,Onobrychis,Control,0.25,0.645270444,0.645270444,0.161317611
6,1,131,58,2,Prunella,Control,0.375,0.429645924,0.429645924,0.161117222
3,1,114,51,12,Prunella,Control,0.5,0.319085345,0.319085345,0.159542672
3,1,115,51,12,Prunella,Control,0.375,0.422920573,0.422920573,0.158595215
6,1,283,149,3,Prunella,Control,0.609375,0.251630534,0.251630534,0.153337357
6,1,858,439,8,Lathyrus,Control,0.46875,0.319085345,0.319085345,0.149571255
2,1,797,413,6,Onobrychis,Control,0.296875,0.443182334,0.443182334,0.131569755
6,1,287,150,7,Prunella,Drought,0.25,0.512613234,0.512613234,0.128153309
2,1,796,413,6,Onobrychis,Control,0.25,0.498490314,0.498490314,0.124622579
4,1,604,317,1,Onobrychis,Drought,0.1875,0.645270444,0.645270444,0.120988208
3,1,276,147,5,Prunella,Roofed,0.4375,0.2758032,0.2758032,0.1206639
3,1,846,434,4,Lathyrus,Roofed,0.3125,NA,0.3729,0.11653125
3,1,119,53,3,Prunella,Roofed,0.1875,0.61490765,0.61490765,0.115295184
2,1,800,414,4,Onobrychis,Control,0.25,0.45683391,0.45683391,0.114208478
2,1,792,412,5,Onobrychis,Control,0.1875,0.49147371,0.49147371,0.092151321
4,1,807,417,7,Onobrychis,Control,0.296875,0.306589745,0.306589745,0.091018831
7,1,398,208,4,Prunella,Control,0.21875,NA,0.4099,0.089665625
2,1,799,414,4,Onobrychis,Control,0.21875,0.409554909,0.409554909,0.089590136
3,1,113,51,12,Prunella,Control,0.1875,0.477529547,0.477529547,0.08953679
3,1,278,147,5,Prunella,Roofed,0.4375,0.20446641,0.20446641,0.089454054
3,1,664,352,1,Lathyrus,Roofed,0.234375,NA,0.3729,0.087398438
4,1,126,55,3,Onobrychis,Drought,0.1875,NA,0.4623,0.08668125
4,1,601,316,5,Onobrychis,Roofed,0.2421875,0.32537246,0.32537246,0.078801143
1,1,261,137,4,Prunella,Drought,0.1875,NA,0.4099,0.07685625
2,1,798,414,4,Onobrychis,Control,0.1875,0.409554909,0.409554909,0.076791545
6,1,431,225,4,Prunella,Roofed,0.390625,0.192915234,0.192915234,0.075357513
6,1,380,201,4,Prunella,Control,0.15625,0.45683391,0.45683391,0.071380298
7,1,397,208,4,Prunella,Control,0.171875,NA,0.4099,0.070451563
4,1,128,56,3,Onobrychis,Roofed,0.125,0.555709302,0.555709302,0.069463663
2,1,794,412,5,Onobrychis,Control,0.140625,0.49147371,0.49147371,0.06911349
4,1,124,55,3,Onobrychis,Drought,0.1484375,NA,0.4623,0.068622656
3,1,268,139,3,Prunella,Roofed,0.21875,0.312824484,0.312824484,0.068430356
6,1,435,227,4,Prunella,Control,0.171875,0.350786142,0.350786142,0.060291368
6,1,430,225,4,Prunella,Roofed,0.3125,0.192915234,0.192915234,0.060286011
4,1,847,435,3,Onobrychis,Roofed,0.109375,0.54122166,0.54122166,0.059196119
6,1,441,230,1,Prunella,Drought,0.296875,0.192915234,0.192915234,0.05727171
6,1,890,455,3,Prunella,Control,0.203125,0.269722387,0.269722387,0.05478736
6,1,666,353,2,Onobrychis,Drought,0.078125,0.645270444,0.645270444,0.050411753
6,1,132,58,2,Prunella,Control,0.125,0.38971701,0.38971701,0.048714626
6,1,667,354,3,Onobrychis,Roofed,0.1015625,NA,0.4623,0.046952344
4,1,121,54,4,Onobrychis,Control,0.09375,NA,0.4623,0.043340625
2,1,804,416,5,Onobrychis,Roofed,0.09375,NA,0.4623,0.043340625
4,1,815,420,2,Onobrychis,Control,0.09375,NA,0.4623,0.043340625
4,1,851,437,8,Onobrychis,Control,0.0625,0.645270444,0.645270444,0.040329403
6,1,432,226,4,Prunella,Roofed,0.15625,0.251630534,0.251630534,0.039317271
6,1,429,225,4,Prunella,Roofed,0.203125,0.192915234,0.192915234,0.039185907
3,1,271,140,2,Prunella,Control,0.09375,NA,0.4099,0.038428125
7,1,396,208,4,Prunella,Control,0.09375,NA,0.4099,0.038428125
6,1,889,455,3,Prunella,Control,0.1875,0.20446641,0.20446641,0.038337452
4,1,127,56,3,Onobrychis,Roofed,0.0625,0.555709302,0.555709302,0.034731831
4,1,603,316,5,Onobrychis,Roofed,0.0859375,0.40291433,0.40291433,0.03462545
4,1,849,435,3,Onobrychis,Roofed,0.0625,0.54122166,0.54122166,0.033826354
6,1,669,354,3,Onobrychis,Roofed,0.0703125,NA,0.4623,0.032505469
3,1,277,147,5,Prunella,Roofed,0.15625,0.20446641,0.20446641,0.031947877
4,1,602,316,5,Onobrychis,Roofed,0.078125,0.40291433,0.40291433,0.031477682
3,1,279,148,3,Prunella,Control,0.109375,0.2758032,0.2758032,0.030165975
2,1,806,416,5,Onobrychis,Roofed,0.0625,NA,0.4623,0.02889375
3,1,275,145,2,Lathyrus,Roofed,0.15625,0.181457864,0.181457864,0.028352791
6,1,381,201,4,Prunella,Control,0.0625,NA,0.4099,0.02561875
6,1,382,201,4,Prunella,Control,0.0625,NA,0.4099,0.02561875
6,1,436,227,4,Prunella,Control,0.0625,0.350786142,0.350786142,0.021924134
6,1,599,315,2,Prunella,Drought,0.0625,0.350786142,0.350786142,0.021924134
4,1,810,418,7,Onobrychis,Control,0.046875,NA,0.4623,0.021670313
6,1,133,59,1,Prunella,Drought,0.046875,NA,0.4099,0.019214063
3,1,264,138,14,Prunella,Drought,0.046875,NA,0.4099,0.019214063
6,1,891,455,3,Prunella,Control,0.15625,0.114623762,0.114623762,0.017909963
6,1,437,227,4,Prunella,Control,0.046875,0.350786142,0.350786142,0.0164431
4,1,125,55,3,Onobrychis,Drought,0.03125,NA,0.4623,0.014446875
4,1,129,56,3,Onobrychis,Roofed,0.0234375,0.555709302,0.555709302,0.013024437
1,1,259,135,6,Prunella,Roofed,0.03125,NA,0.4099,0.012809375
3,1,280,148,3,Prunella,Control,0.03125,0.2758032,0.2758032,0.00861885
4,1,848,435,3,Onobrychis,Roofed,0.015625,0.54122166,0.54122166,0.008456588
2,1,793,412,5,Onobrychis,Control,0.015625,0.49147371,0.49147371,0.007679277
4,1,122,54,4,Onobrychis,Control,0.015625,NA,0.4623,0.007223438
4,1,123,54,4,Onobrychis,Control,0.015625,NA,0.4623,0.007223438
2,1,802,415,7,Onobrychis,Roofed,0.015625,NA,0.4623,0.007223438
4,1,809,417,7,Onobrychis,Control,0.015625,0.306589745,0.306589745,0.004790465
