Row,Plot_ID,FG,FG_Diversity,Date_Surveyed,Subplot_Type,SubplotID,Survey_Number,SurveyID,TaxonomicID,Pollinator_Species_Code,Plant_Species,No_Visits
3,18,3,1,20-Jul-16,C,18.C,1,18.C.1,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,2
3,18,3,1,20-Jul-16,D,18.D,1,18.D.1,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,2
3,18,3,1,20-Jul-16,R,18.R,1,18.R.1,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,7
3,18,3,1,21-Jul-16,C,18.C,2,18.C.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,6
3,18,3,1,21-Jul-16,R,18.R,2,18.R.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,2
3,18,3,1,21-Jul-16,R,18.R,2,18.R.2,Bombus_lapidarius,Bombus_lap,Vicia_cracca,3
3,18,3,1,21-Jul-16,R,18.R,2,18.R.2,Diptera,Diptera_med,Daucus_carota,1
3,18,3,1,21-Jul-16,R,18.R,2,18.R.2,Diptera,Diptera_med,Sonchus_oleraceus,1
3,18,3,1,21-Jul-16,R,18.R,2,18.R.2,Eristalis_spp,Eristalis,Sonchus_oleraceus,4
3,18,3,1,20-Jul-16,C,18.C,1,18.C.1,Parasitica,Parastic_Wasp_minute,Leucanthemum_vulgare,1
3,18,3,1,20-Jul-16,R,18.R,1,18.R.1,Nitidulidae,Pollen_Beetle,Crepis_capillaris,1
3,18,3,1,20-Jul-16,R,18.R,1,18.R.1,Apoidea,SolBee_small,Vicia_cracca,1
3,18,3,1,20-Jul-16,C,18.C,1,18.C.1,Syrphidae,Syrphid,Leucanthemum_vulgare,1
3,18,3,1,20-Jul-16,R,18.R,1,18.R.1,Syrphidae,Syrphid,Galium_mollugo,1
3,18,3,1,21-Jul-16,C,18.C,2,18.C.2,Syrphidae,Syrphid_med_blackshiny,Leucanthemum_vulgare,1
3,19,23,2,18-Jul-16,C,19.C,1,19.C.1,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,6
3,19,23,2,18-Jul-16,C,19.C,1,19.C.1,Diptera,Diptera_small,Galium_mollugo,2
3,19,23,2,21-Jul-16,C,19.C,2,19.C.2,Parasitica,Parastic_Wasp_minute,Galium_mollugo,1
3,20,1,1,21-Jul-16,C,20.C,1,20.C.1,Diptera,Diptera_med,Crepis_capillaris,2
